EC_SUBADQUIRIDO;FANTASIA_SUBADQUIRIDO;CNPJ_SUBADQUIRIDO;CIDADE_SUBADQUIRIDO;ESTADO_SUBADQUIRIDO;COD_PROJETO;PROJETO_SUBADQUIRIDO;VALOR_BRUTO_TRANSACIONADO;BANDEIRA;QTD_DE_PARCELAS;Nº_DA_PARCELA;DATA_DA_TRANSACAO;VALOR_DE_REPASSE;DATA_DO_REPASSE;DATA_DA_ANTECIPACAO;DINHEIRO_REPASSADO
174667         ;CONTATESTE     ;26615279000101;CURITIBA                                                    ;PR;290;ZEITBANK;R$ 0,42;MAESTRO             ;1;0;2024-10-18                    ;R$ 0,39;2024-10-21                    ;1753-01-01                    ;ABERTO
174667         ;CONTATESTE     ;26615279000101;CURITIBA                                                    ;PR;290;ZEITBANK;R$ 0,33;MASTERCARD          ;1;0;2024-10-18                    ;R$ 0,30;2024-11-18                    ;2024-10-22                    ;PROCESSANDO_REPASSE
304496         ;COSSI & SILVA  ;21801537000120;UMUARAMA                                                    ;PR;290;ZEITBANK;R$ 620,00;VISA                ;1;0;2024-10-18                    ;R$ 599,78;2024-11-18                    ;1753-01-01                    ;ABERTO
305152         ;VP JARAGUA     ;35194931000152;JARAGUA DO SUL                                              ;SC;290;ZEITBANK;R$ 399,25;ELODEBITO           ;1;0;2024-10-18                    ;R$ 393,63;2024-10-21                    ;1753-01-01                    ;PAGO
305152         ;VP JARAGUA     ;35194931000152;JARAGUA DO SUL                                              ;SC;290;ZEITBANK;R$ 1.247,15;MAESTRO             ;1;0;2024-10-18                    ;R$ 1.229,58;2024-10-21                    ;1753-01-01                    ;PAGO
305152         ;VP JARAGUA     ;35194931000152;JARAGUA DO SUL                                              ;SC;290;ZEITBANK;R$ 343,94;VISAELECTRON        ;1;0;2024-10-18                    ;R$ 339,09;2024-10-21                    ;1753-01-01                    ;PAGO
305303         ;REI JARAGUA_303;51219650000163;JARAGUA DO SUL                                              ;SC;290;ZEITBANK;R$ 88,44;ELODEBITO           ;1;0;2024-10-18                    ;R$ 87,20;2024-10-21                    ;1753-01-01                    ;PAGO
305303         ;REI JARAGUA_303;51219650000163;JARAGUA DO SUL                                              ;SC;290;ZEITBANK;R$ 483,79;MAESTRO             ;1;0;2024-10-18                    ;R$ 476,98;2024-10-21                    ;1753-01-01                    ;PAGO
305303         ;REI JARAGUA_303;51219650000163;JARAGUA DO SUL                                              ;SC;290;ZEITBANK;R$ 312,93;VISAELECTRON        ;1;0;2024-10-18                    ;R$ 308,54;2024-10-21                    ;1753-01-01                    ;PAGO
305377         ;POSTO MBP      ;08170218000104   ;CURITIBA                                                    ;PR;325;REDE PETROMAIS;R$ 749,82;ELOCREDITO          ;1;0;2024-10-18                    ;R$ 709,87;2024-11-18                    ;2024-10-22                    ;PROCESSANDO_REPASSE
305377         ;POSTO MBP      ;08170218000104   ;CURITIBA                                                    ;PR;325;REDE PETROMAIS;R$ 1.275,45;ELODEBITO           ;1;0;2024-10-18                    ;R$ 1.257,54;2024-10-21                    ;1753-01-01                    ;PAGO
305377         ;POSTO MBP      ;08170218000104   ;CURITIBA                                                    ;PR;325;REDE PETROMAIS;R$ 4.777,51;MAESTRO             ;1;0;2024-10-18                    ;R$ 4.710,46;2024-10-21                    ;1753-01-01                    ;PAGO
305377         ;POSTO MBP      ;08170218000104   ;CURITIBA                                                    ;PR;325;REDE PETROMAIS;R$ 3.571,50;MASTERCARD          ;1;0;2024-10-18                    ;R$ 3.371,79;2024-11-18                    ;2024-10-22                    ;PROCESSANDO_REPASSE
305377         ;POSTO MBP      ;08170218000104   ;CURITIBA                                                    ;PR;325;REDE PETROMAIS;R$ 1.306,00;PIXSICOOB           ;1;0;2024-10-18                    ;R$ 1.287,68;2024-10-21                    ;1753-01-01                    ;PAGO
305377         ;POSTO MBP      ;08170218000104   ;CURITIBA                                                    ;PR;325;REDE PETROMAIS;R$ 2.900,97;VISA                ;1;0;2024-10-18                    ;R$ 2.738,82;2024-11-18                    ;2024-10-22                    ;PROCESSANDO_REPASSE
305377         ;POSTO MBP      ;08170218000104   ;CURITIBA                                                    ;PR;325;REDE PETROMAIS;R$ 4.026,54;VISAELECTRON        ;1;0;2024-10-18                    ;R$ 3.970,03;2024-10-21                    ;1753-01-01                    ;PAGO
305382         ;REI MARACANA   ;47600152000199;COLOMBO                                                     ;PR;290;ZEITBANK;R$ 86,86;ELODEBITO           ;1;0;2024-10-18                    ;R$ 85,62;2024-10-21                    ;1753-01-01                    ;PAGO
305382         ;REI MARACANA   ;47600152000199;COLOMBO                                                     ;PR;290;ZEITBANK;R$ 1.557,03;MAESTRO             ;1;0;2024-10-18                    ;R$ 1.535,11;2024-10-21                    ;1753-01-01                    ;PAGO
305382         ;REI MARACANA   ;47600152000199;COLOMBO                                                     ;PR;290;ZEITBANK;R$ 535,05;VISAELECTRON        ;1;0;2024-10-18                    ;R$ 527,51;2024-10-21                    ;1753-01-01                    ;PAGO
305393         ;CONV STRAWBERRY;54102765000161;SAO PAULO                                                   ;SP;335;REDE MORANGUINHO;R$ 100,00;AMEX                ;1;0;2024-10-18                    ;R$ 95,07;2024-11-18                    ;2024-10-22                    ;PROCESSANDO_REPASSE
305393         ;CONV STRAWBERRY;54102765000161;SAO PAULO                                                   ;SP;335;REDE MORANGUINHO;R$ 1.619,92;ELOCREDITO          ;1;0;2024-10-18                    ;R$ 1.555,90;2024-11-18                    ;2024-10-22                    ;PROCESSANDO_REPASSE
305393         ;CONV STRAWBERRY;54102765000161;SAO PAULO                                                   ;SP;335;REDE MORANGUINHO;R$ 1.522,90;ELODEBITO           ;1;0;2024-10-18                    ;R$ 1.494,82;2024-10-21                    ;1753-01-01                    ;PAGO
305393         ;CONV STRAWBERRY;54102765000161;SAO PAULO                                                   ;SP;335;REDE MORANGUINHO;R$ 11.771,02;MAESTRO             ;1;0;2024-10-18                    ;R$ 11.654,13;2024-10-21                    ;1753-01-01                    ;PAGO
305393         ;CONV STRAWBERRY;54102765000161;SAO PAULO                                                   ;SP;335;REDE MORANGUINHO;R$ 3.328,09;MASTERCARD          ;1;0;2024-10-18                    ;R$ 3.219,82;2024-11-18                    ;2024-10-22                    ;PROCESSANDO_REPASSE
305393         ;CONV STRAWBERRY;54102765000161;SAO PAULO                                                   ;SP;335;REDE MORANGUINHO;R$ 875,00;PIXSICOOB           ;1;0;2024-10-18                    ;R$ 870,62;2024-10-21                    ;1753-01-01                    ;PAGO
305393         ;CONV STRAWBERRY;54102765000161;SAO PAULO                                                   ;SP;335;REDE MORANGUINHO;R$ 4.098,25;VISA                ;1;0;2024-10-18                    ;R$ 3.964,98;2024-11-18                    ;2024-10-22                    ;PROCESSANDO_REPASSE
305393         ;CONV STRAWBERRY;54102765000161;SAO PAULO                                                   ;SP;335;REDE MORANGUINHO;R$ 3.968,61;VISAELECTRON        ;1;0;2024-10-18                    ;R$ 3.929,13;2024-10-21                    ;1753-01-01                    ;PAGO
305443         ;POMPERMAIER    ;45860534000126;SAO PAULO                                                   ;SP;326;B.F.P;R$ 1.900,00;MAESTRO             ;1;0;2024-10-18                    ;R$ 1.881,19;2024-10-21                    ;1753-01-01                    ;PAGO
305459         ;STRAWBERRY LJ1 ;54102765000242;SAO PAULO                                                   ;SP;335;REDE MORANGUINHO;R$ 64,61;ELODEBITO           ;1;0;2024-10-18                    ;R$ 63,42;2024-10-21                    ;1753-01-01                    ;PAGO
305459         ;STRAWBERRY LJ1 ;54102765000242;SAO PAULO                                                   ;SP;335;REDE MORANGUINHO;R$ 50,00;MAESTRO             ;1;0;2024-10-18                    ;R$ 49,50;2024-10-21                    ;1753-01-01                    ;PAGO
305459         ;STRAWBERRY LJ1 ;54102765000242;SAO PAULO                                                   ;SP;335;REDE MORANGUINHO;R$ 100,00;VISA                ;1;0;2024-10-18                    ;R$ 96,75;2024-11-18                    ;2024-10-22                    ;PROCESSANDO_REPASSE
305460         ;STRAWBERRY LJ2 ;54102765000404;SAO PAULO                                                   ;SP;335;REDE MORANGUINHO;R$ 221,76;ELOCREDITO          ;1;0;2024-10-18                    ;R$ 213,00;2024-11-18                    ;2024-10-22                    ;PROCESSANDO_REPASSE
305460         ;STRAWBERRY LJ2 ;54102765000404;SAO PAULO                                                   ;SP;335;REDE MORANGUINHO;R$ 856,74;ELODEBITO           ;1;0;2024-10-18                    ;R$ 840,96;2024-10-21                    ;1753-01-01                    ;PAGO
305460         ;STRAWBERRY LJ2 ;54102765000404;SAO PAULO                                                   ;SP;335;REDE MORANGUINHO;R$ 3.583,07;MAESTRO             ;1;0;2024-10-18                    ;R$ 3.547,48;2024-10-21                    ;1753-01-01                    ;PAGO
305460         ;STRAWBERRY LJ2 ;54102765000404;SAO PAULO                                                   ;SP;335;REDE MORANGUINHO;R$ 3.197,07;MASTERCARD          ;1;0;2024-10-18                    ;R$ 3.093,14;2024-11-18                    ;2024-10-22                    ;PROCESSANDO_REPASSE
305460         ;STRAWBERRY LJ2 ;54102765000404;SAO PAULO                                                   ;SP;335;REDE MORANGUINHO;R$ 3.798,28;PIXSICOOB           ;1;0;2024-10-18                    ;R$ 3.779,21;2024-10-21                    ;1753-01-01                    ;PAGO
305460         ;STRAWBERRY LJ2 ;54102765000404;SAO PAULO                                                   ;SP;335;REDE MORANGUINHO;R$ 1.577,98;VISA                ;1;0;2024-10-18                    ;R$ 1.526,66;2024-11-18                    ;2024-10-22                    ;PROCESSANDO_REPASSE
305460         ;STRAWBERRY LJ2 ;54102765000404;SAO PAULO                                                   ;SP;335;REDE MORANGUINHO;R$ 1.318,72;VISAELECTRON        ;1;0;2024-10-18                    ;R$ 1.305,63;2024-10-21                    ;1753-01-01                    ;PAGO
305461         ;STRAWBERRY LJ3 ;54102765000595;SAO PAULO                                                   ;SP;335;REDE MORANGUINHO;R$ 35,00;MAESTRO             ;1;0;2024-10-18                    ;R$ 34,65;2024-10-21                    ;1753-01-01                    ;PAGO
305461         ;STRAWBERRY LJ3 ;54102765000595;SAO PAULO                                                   ;SP;335;REDE MORANGUINHO;R$ 50,00;MASTERCARD          ;1;0;2024-10-18                    ;R$ 48,37;2024-11-18                    ;2024-10-22                    ;PROCESSANDO_REPASSE
