EC_SUBADQUIRIDO;FANTASIA_SUBADQUIRIDO;CNPJ_SUBADQUIRIDO;CIDADE_SUBADQUIRIDO;ESTADO_SUBADQUIRIDO;COD_PROJETO;PROJETO_SUBADQUIRIDO;VALOR_BRUTO_TRANSACIONADO;BANDEIRA;QTD_DE_PARCELAS;Nº_DA_PARCELA;DATA_DA_TRANSACAO;VALOR_DE_REPASSE;DATA_DO_REPASSE;DATA_DA_ANTECIPACAO;DINHEIRO_REPASSADO
174667         ;CONTATESTE     ;26615279000101;CURITIBA                                                    ;PR;290;ZEITBANK;R$ 1,02;MASTERCARD          ;1;0;2024-10-23                    ;R$ 0,92;2024-11-25                    ;2024-10-25                    ;PROCESSANDO_REPASSE
304496         ;COSSI & SILVA  ;21801537000120;UMUARAMA                                                    ;PR;290;ZEITBANK;R$ 230,00;MAESTRO             ;1;0;2024-10-23                    ;R$ 225,40;2024-10-25                    ;1753-01-01                    ;ABERTO
305152         ;VP JARAGUA     ;35194931000152;JARAGUA DO SUL                                              ;SC;290;ZEITBANK;R$ 520,77;MAESTRO             ;1;0;2024-10-23                    ;R$ 513,40;2024-10-25                    ;1753-01-01                    ;ABERTO
305152         ;VP JARAGUA     ;35194931000152;JARAGUA DO SUL                                              ;SC;290;ZEITBANK;R$ 569,51;VISAELECTRON        ;1;0;2024-10-23                    ;R$ 561,50;2024-10-25                    ;1753-01-01                    ;ABERTO
305303         ;REI JARAGUA_303;51219650000163;JARAGUA DO SUL                                              ;SC;290;ZEITBANK;R$ 466,46;MAESTRO             ;1;0;2024-10-23                    ;R$ 459,89;2024-10-25                    ;1753-01-01                    ;ABERTO
305303         ;REI JARAGUA_303;51219650000163;JARAGUA DO SUL                                              ;SC;290;ZEITBANK;R$ 364,67;VISAELECTRON        ;1;0;2024-10-23                    ;R$ 359,55;2024-10-25                    ;1753-01-01                    ;ABERTO
305377         ;POSTO MBP      ;08170218000104   ;CURITIBA                                                    ;PR;325;REDE PETROMAIS;R$ 200,99;ELOCREDITO          ;1;0;2024-10-23                    ;R$ 189,87;2024-11-25                    ;2024-10-25                    ;PROCESSANDO_REPASSE
305377         ;POSTO MBP      ;08170218000104   ;CURITIBA                                                    ;PR;325;REDE PETROMAIS;R$ 1.304,46;ELODEBITO           ;1;0;2024-10-23                    ;R$ 1.286,14;2024-10-25                    ;1753-01-01                    ;ABERTO
305377         ;POSTO MBP      ;08170218000104   ;CURITIBA                                                    ;PR;325;REDE PETROMAIS;R$ 4.753,09;MAESTRO             ;1;0;2024-10-23                    ;R$ 4.686,33;2024-10-25                    ;1753-01-01                    ;ABERTO
305377         ;POSTO MBP      ;08170218000104   ;CURITIBA                                                    ;PR;325;REDE PETROMAIS;R$ 2.174,78;MASTERCARD          ;1;0;2024-10-23                    ;R$ 2.049,19;2024-11-25                    ;2024-10-25                    ;PROCESSANDO_REPASSE
305377         ;POSTO MBP      ;08170218000104   ;CURITIBA                                                    ;PR;325;REDE PETROMAIS;R$ 1.725,66;PIXSICOOB           ;1;0;2024-10-23                    ;R$ 1.701,42;2024-10-25                    ;1753-01-01                    ;ABERTO
305377         ;POSTO MBP      ;08170218000104   ;CURITIBA                                                    ;PR;325;REDE PETROMAIS;R$ 1.876,08;VISA                ;1;0;2024-10-23                    ;R$ 1.767,77;2024-11-25                    ;2024-10-25                    ;PROCESSANDO_REPASSE
305377         ;POSTO MBP      ;08170218000104   ;CURITIBA                                                    ;PR;325;REDE PETROMAIS;R$ 3.122,90;VISAELECTRON        ;1;0;2024-10-23                    ;R$ 3.079,04;2024-10-25                    ;1753-01-01                    ;ABERTO
305382         ;REI MARACANA   ;47600152000199;COLOMBO                                                     ;PR;290;ZEITBANK;R$ 439,71;MAESTRO             ;1;0;2024-10-23                    ;R$ 433,51;2024-10-25                    ;1753-01-01                    ;ABERTO
305382         ;REI MARACANA   ;47600152000199;COLOMBO                                                     ;PR;290;ZEITBANK;R$ 471,21;VISAELECTRON        ;1;0;2024-10-23                    ;R$ 464,58;2024-10-25                    ;1753-01-01                    ;ABERTO
305393         ;CONV STRAWBERRY;54102765000161;SAO PAULO                                                   ;SP;335;REDE MORANGUINHO;R$ 98,79;AMEX                ;1;0;2024-10-23                    ;R$ 93,77;2024-11-25                    ;2024-10-25                    ;PROCESSANDO_REPASSE
305393         ;CONV STRAWBERRY;54102765000161;SAO PAULO                                                   ;SP;335;REDE MORANGUINHO;R$ 2.487,63;ELOCREDITO          ;1;0;2024-10-23                    ;R$ 2.386,72;2024-11-25                    ;2024-10-25                    ;PROCESSANDO_REPASSE
305393         ;CONV STRAWBERRY;54102765000161;SAO PAULO                                                   ;SP;335;REDE MORANGUINHO;R$ 1.171,56;ELODEBITO           ;1;0;2024-10-23                    ;R$ 1.149,94;2024-10-25                    ;1753-01-01                    ;ABERTO
305393         ;CONV STRAWBERRY;54102765000161;SAO PAULO                                                   ;SP;335;REDE MORANGUINHO;R$ 9.902,40;MAESTRO             ;1;0;2024-10-23                    ;R$ 9.803,91;2024-10-25                    ;1753-01-01                    ;ABERTO
305393         ;CONV STRAWBERRY;54102765000161;SAO PAULO                                                   ;SP;335;REDE MORANGUINHO;R$ 11.329,91;MASTERCARD          ;1;0;2024-10-23                    ;R$ 10.949,48;2024-11-25                    ;2024-10-25                    ;PROCESSANDO_REPASSE
305393         ;CONV STRAWBERRY;54102765000161;SAO PAULO                                                   ;SP;335;REDE MORANGUINHO;R$ 1.024,52;PIXSICOOB           ;1;0;2024-10-23                    ;R$ 1.019,38;2024-10-25                    ;1753-01-01                    ;ABERTO
305393         ;CONV STRAWBERRY;54102765000161;SAO PAULO                                                   ;SP;335;REDE MORANGUINHO;R$ 3.502,72;VISA                ;1;0;2024-10-23                    ;R$ 3.385,08;2024-11-25                    ;2024-10-25                    ;PROCESSANDO_REPASSE
